Axis pair,gray entropy,color entropy,weighted gray,weighted color,joint entropy
volatile fixed,0.5754321217536926,0.5754321217536926,0.2123739868402481,0.2123739868402481,-3.5967371463775635
citric fixed,0.6825883984565735,0.6825883984565735,0.15879584848880768,0.15879584848880768,-3.8418848514556885
citric volatile,0.5864410400390625,0.5864410400390625,0.20686952769756317,0.20686952769756317,-4.004878997802734
residual fixed,0.5027151107788086,0.5027151107788086,0.24873249232769012,0.24873249232769012,-4.526065826416016
residual volatile,0.44425511360168457,0.44425511360168457,0.27796250581741333,0.27796250581741333,-4.7485504150390625
residual citric,0.5006664395332336,0.5006664395332336,0.2497568279504776,0.2497568279504776,-4.541064739227295
chlorides fixed,0.48259565234184265,0.48259565234184265,0.2587922215461731,0.2587922215461731,-3.7192928791046143
chlorides volatile,0.4340655207633972,0.4340655207633972,0.283057302236557,0.283057302236557,-3.8099312782287598
chlorides citric,0.4785623550415039,0.4785623550415039,0.26080888509750366,0.26080888509750366,-3.6677629947662354
chlorides residual,0.37236928939819336,0.37236928939819336,0.31390541791915894,0.31390541791915894,-3.199270009994507
free fixed,0.6070012450218201,0.6070012450218201,0.1965894252061844,0.1965894252061844,-4.559215545654297
free volatile,0.5727303624153137,0.5727303624153137,0.21372486650943756,0.21372486650943756,-4.685392379760742
free citric,0.6259025931358337,0.6259025931358337,0.18713875114917755,0.18713875114917755,-4.487392425537109
free residual,0.4928537905216217,0.4928537905216217,0.25366318225860596,0.25366318225860596,-3.7862706184387207
free chlorides,0.4980284571647644,0.4980284571647644,0.2510758340358734,0.2510758340358734,-4.6191935539245605
total fixed,0.536768913269043,0.536768913269043,0.23170559108257294,0.23170559108257294,-3.4543488025665283
total volatile,0.5015647411346436,0.5015647411346436,0.24930767714977264,0.24930767714977264,-3.4950644969940186
total citric,0.5532463192939758,0.5532463192939758,0.2234668880701065,0.2234668880701065,-3.3670289516448975
total residual,0.43358975648880005,0.43358975648880005,0.2832951843738556,0.2832951843738556,-3.0338358879089355
total chlorides,0.4280320703983307,0.4280320703983307,0.28607404232025146,0.28607404232025146,-3.4874958992004395
total free,0.5273680090904236,0.5273680090904236,0.23640604317188263,0.23640604317188263,-2.80476713180542
density fixed,0.662256121635437,0.662256121635437,0.16896198689937592,0.16896198689937592,-2.3563928604125977
density volatile,0.6022003293037415,0.6022003293037415,0.1989898830652237,0.1989898830652237,-2.4999606609344482
density citric,0.6822588443756104,0.6822588443756104,0.15896062552928925,0.15896062552928925,-2.4122564792633057
